"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"In “Inheritance From Mother,” a middle-aged woman must deal with her aging and demanding mother and her husband’s infidelity.","In “Inheritance From Mother,” a middle-aged woman must deal with her aging and demanding mother and her husband’s infidelity.","INHERITANCE FROM MOTHERBy Minae MizumuraTranslated by Juliet Winters Carpenter446 pp. Other Press. $27.95.","The New York Times","2017-06-09T09:00:29+0000","article","Books","Review","nyt://article/ce09a588-6a7d-56d1-a596-1be916325627","Book Review","Filial Devotion, Sorely Tested in Minae Mizumura’s Novel","Fiction",NA,"Parental Controls",NA,NA,NA
"People have worse problems, but mine is having my boyfriend break up with me at the start of the pandemic.","People have worse problems, but mine is having my boyfriend break up with me at the start of the pandemic.","My boyfriend broke up with me the week before they found my neighbor. The breakup happened in the evening; I had spent the day grocery shopping because the World Health Organization had just declared a pandemic.","The New York Times","2020-04-24T04:00:07+0000","article","Style","News","nyt://article/4618fb55-5ba9-5e68-81dc-63825a45aca5",NA,"When It’s Either Your Ex, or Nobody, for Months","Modern Love",NA,"When It’s Either Your Ex or Nobody for Months",NA,NA,NA
"The stars of Pet Tube are modeling the radical caretaking of strange animals. But they are only human.","The stars of Pet Tube are modeling the radical caretaking of strange animals. But they are only human.","Tomas Pasiecznik lives in New Jersey with his parents, his dog and 26 other species of animals, including a reticulated python, a Chilean rose hair tarantula, a colony of Central American giant cave cockroaches and an African pygmy hedgehog named Chloe. That count does not include all the animals that Pasiecznik acquires to feed to his other animals. When we spoke on a recent afternoon, over Zoom, Pasiecznik dipped out of view for a moment and returned with two electric blue hornworms wriggling in his palm — dinner for his scorpions and tarantulas. “They’re super cool,” he said. “I have a hard time feeding these. I’d rather just, like, watch them turn into moths and stuff.”","The New York Times","2021-06-18T09:00:37+0000","article","Arts","News","nyt://article/8e3cc931-0434-54cf-bd1c-b2f54270e532",NA,"The Internet’s Exotic Pets, and the People Who Love Them",NA,NA,"YouTube’s Menageries And the People Who Care for Them",NA,NA,NA
"Parents need support as their children grow older, and there are few policies that address it.","Parents need support as their children grow older, and there are few policies that address it.","[The topics parents are talking about. Evidence-based guidance. Personal stories that matter. Sign up now to get NYT Parenting in your inbox every week.]","The New York Times","2019-06-17T04:00:06+0000","article","Business Day","News","nyt://article/c0cdfcad-c41d-5a50-8e6f-22dbf1c1d6eb",NA,"Work-Life Conflict Doesn’t Stop After Maternity Leave",NA,NA,"Work-Life Conflict Doesn’t Stop",NA,NA,NA
"Working fewer than 40 hours per week, as women are likelier than men to do, often results in a lower per-hour wage, furthering the gender gap in pay.","Working fewer than 40 hours per week, as women are likelier than men to do, often results in a lower per-hour wage, furthering the gender gap in pay.","Women get paid less than men in almost all jobs, but when women in low-wage jobs need to take time off work to care for children, they are at an even greater disadvantage.","The New York Times","2014-08-21T04:12:12+0000","article","The Upshot","News","nyt://article/2658f906-5f2a-52d1-ad40-1618fdedcf56",NA,"How a Part-Time Pay Penalty Hits Working Mothers","Women's Wages",NA,"Part-Time Penalty Hits Working Mothers",NA,NA,NA
"A brother-in-law’s multiple marriages leave a reader stumped in the Mother’s Day gift department.","A brother-in-law’s multiple marriages leave a reader stumped in the Mother’s Day gift department.","My husband and I invited our mothers, along with my husband’s brother and new wife, to a Mother’s Day dinner. We will present all the mothers at the table with small gifts. My brother-in-law has a young daughter from his second marriage (he’s on his third). Should we give his new wife a gift? She is stepmother to our niece, but the girl is cared for by her mother. (Full disclosure: We’re still bristling at this wife entering our family through prolonged and secret infidelity.) But we don’t want to make her feel awkward. We’re stumped.","The New York Times","2018-05-10T15:52:34+0000","article","Style","News","nyt://article/9a084062-f310-5850-897a-5f88aa75397d",NA,"Stepmother’s Day?","SOCIAL Q’S",NA,"Stepmother’s Day?",NA,NA,NA
"Being in a cancer support group eventually means losing a friend.","Being in a cancer support group eventually means losing a friend.","Being in a cancer support group eventually means losing a friend. On the first day of November, Leslie informed the six of us that she would not attend our next meeting: “I am so tired and I think all the tricks and treats are done.” ","The New York Times","2014-07-10T17:27:20+0000","article","Health","News","nyt://article/14e43576-ff17-5eac-be9b-06fe093a491f",NA,"Living With Cancer: Parting Gifts","Well",NA,NA,NA,NA,NA
"“Cancer kids are essentially side effects of the relentless mutation that made the diversity of life on earth possible,” says the 16-year-old narrator of John Green’s book and movie.","“Cancer kids are essentially side effects of the relentless mutation that made the diversity of life on earth possible,” says the 16-year-old narrator of John Green’s book and movie.","“Cancer books suck,” says 16-year-old Hazel Grace Lancaster. But she has a favorite and so do I. Mine is the novel John Green wrote about her. ","The New York Times","2014-06-12T20:50:55+0000","article","Health","News","nyt://article/463ce2cb-1a89-59a8-a323-3fb564de4f68",NA,"Living With Cancer: ‘The Fault in Our Stars’","Well",NA,NA,NA,NA,NA
"Once Florence Wint was relieved of her homemaking and caretaking duties, she plunged back into creating the art she had wanted to make for decades.","Once Florence Wint was relieved of her homemaking and caretaking duties, she plunged back into creating the art she had wanted to make for decades.","Florence Wint scoffs at the stereotype of spending her golden years relaxing.","The New York Times","2014-02-14T20:16:39+0000","article","New York","News","nyt://article/ff79e85c-bfa4-503e-a29c-14d9c5867616",NA,"Her Creative Exuberance Has No Limits",NA,NA,"Creative Exuberance",NA,NA,NA
"The decision to postpone the Knicks-Nets game drew applause. The decision not to postpone the New York City Marathon has raised questions among runners.","The decision to postpone the Knicks-Nets game drew applause. The decision not to postpone the New York City Marathon has raised questions among runners.","O.K., let’s see if we have this straight: Mayor Michael R. Bloomberg wisely slaps down the N.B.A.'s initial ridiculous idea to play the Nets-Knicks opener as scheduled Thursday at Barclays Center in Brooklyn because of the devastation of Hurricane Sandy, then pauses about two seconds before declaring the New York City Marathon must go on. On one hand, it is unconscionable to stage an event in relatively lightly damaged Brooklyn that would involve 20,000 or so people, if you include all the employees, traffic cops and ticket scalpers who would have gravitated to the event, but perfectly O.K. to stage something with 40,000 runners and millions of spectators, which uses untold amount of city resources over a 26.2-mile course that ends in Central Park, which has not been accessible yet because no one knows how many trees are ready to fall on how many heads?","The New York Times","2012-11-01T17:24:16+0000","article","Sports","News","nyt://article/4f3d72fa-ee03-546d-ad0b-361b9a46fe88",NA,"Should the Race Be Run?","Leading Off",NA,NA,NA,NA,NA
"A mother of four talks about her newfound fame after her 90-second diatribe racked up millions of views.","A mother of four talks about her newfound fame after her 90-second diatribe racked up millions of views.","Even the interview started in a way that was indicative of our current global shared reality.","The New York Times","2020-03-26T19:11:14+0000","article","Parenting","News","nyt://article/f7ee6003-24e1-541c-a34b-56eaeef3b6c9",NA,"An Israeli Mom Ranted About Online Learning, and the Internet Replied: ‘Same’",NA,NA,NA,NA,NA,NA
"I welcomed the idea of touring a new hospice facility to confront my fears of pain while dying, writes Susan Gubar in her continuing “Living With Cancer” series.","I welcomed the idea of touring a new hospice facility to confront my fears of pain while dying, writes Susan Gubar in her continuing “Living With Cancer” series.","Before the visit, I had been split in two not by fear of death but by dread of dying — in anxiety, dementia, but mostly in pain from recurrent ovarian cancer. ","The New York Times","2014-07-24T15:45:20+0000","article","Health","News","nyt://article/c38378b2-e506-50e6-93f1-7cbee5c12b32",NA,"Living With Cancer: A Tour of Hospice","Well",NA,NA,NA,NA,NA
"For hospital staff, snow day rules are the opposite of what they are for most people.","For hospital staff, snow day rules are the opposite of what they are for most people.","Ah, the unexpected pleasure of a snow day. School is canceled and work may be canceled, too. Life suddenly becomes all about hunkering down in your domestic space and making do with what you have.","The New York Times","2010-02-24T17:33:13+0000","article","Health",NA,"nyt://article/b2107c6a-77de-5fd4-980a-d063c10e604f",NA,"Snow Day at the Hospital","Well",NA,NA,NA,NA,NA
"Being a submissive or dutiful patient doesn’t always pay off. Who exactly was I being good for? Sometimes it’s good to be bad.","Being a submissive or dutiful patient doesn’t always pay off. Who exactly was I being good for? Sometimes it’s good to be bad.","I remember when being good seemed strategic. ","The New York Times","2013-01-24T15:29:41+0000","article","Health","News","nyt://article/353fdc4d-a458-509c-b4be-0196f2887e0f",NA,"Living With Cancer: The Good Patient Syndrome","Well",NA,NA,NA,NA,NA
"On a single day, I came across a half-dozen family caregivers, all in various stages of exasperation.","On a single day, I came across a half-dozen family caregivers, all in various stages of exasperation.","Each year, the numbers get bigger. There are 42 million family caregivers now, a cohort that includes more than just adult children watching over their aged parents, although they predominate. Tens of millions of us are engaged in this hard, transformative task; this dance in which who leads and who follows changes by the minute; this time in life that can’t be over quickly enough and that we want to last forever; this labor of love. ","The New York Times","2011-12-02T17:37:23+0000","article","Health","News","nyt://article/a208524f-171f-510d-9d9e-1f129f4f0e96",NA,"We Are Everywhere","The New Old Age",NA,NA,NA,NA,NA
"The pandemic is a new setback for women in academia who already faced obstacles on the path to advancing their research and careers.","The pandemic is a new setback for women in academia who already faced obstacles on the path to advancing their research and careers.","Whatever big plans Lisa Warner had for the year, the pandemic scrambled them. It forced online the biochemistry classes she taught as an assistant professor at Boise State University in Idaho, and it temporarily shut down her laboratory. Her 4-year-old son’s day care closed, and Dr. Warner felt her productivity wane. She feared for her chances of receiving tenure, the long-term job security that most early-career academics ardently pursue, by the 2024 deadline in her contract.","The New York Times","2020-10-06T06:59:10+0000","article","Science","News","nyt://article/3050739c-b871-525b-88c7-0217d7d336b7",NA,"The Virus Moved Female Faculty to the Brink. Will Universities Help?",NA,NA,"Women in Academia  Face a New Burden",NA,NA,NA
"At the annual MAD Symposium in Copenhagen, small causes continue to inspire big conversations — and change.","At the annual MAD Symposium in Copenhagen, small causes continue to inspire big conversations — and change.","At the fifth MAD Symposium — Denmark’s annual culinary twist on the Butterfly Effect, where small acts lead to large outcomes — a young cook from India, Ashwami Manjrekar, landed a gig with Rosio Sanchez, the Mexican-American chef from Chicago who opened a now-famous taqueria in Torvehallerne. That two women from disparate cultures on opposite sides of the earth found common ground over tacos under a circus tent is just one example of how MAD Symposium is arguably the most impactful food movement around.","The New York Times","2016-09-12T21:31:34+0000","article","T Magazine","News","nyt://article/474c32b5-1c66-52fe-8468-2b248da28bd1","Food","Highlights From the Food World’s Most Game-Changing Festival","Food Matters",NA,NA,NA,NA,NA
"New books by Simone Muench, Fanny Howe, J. D. McClatchy and Cynthia Hogue.","New books by Simone Muench, Fanny Howe, J. D. McClatchy and Cynthia Hogue.","WOLF CENTOS  By Simone Muench  Sarabande, paper, $14.95. ","The New York Times","2014-09-12T15:50:28+0000","article","Books","News","nyt://article/207b53ec-f708-54cc-bb43-3f6ee924bb02","Book Review","Poetry","The Shortlist",NA,"Poetry",NA,NA,NA
"Republicans like to say the Affordable Care Act has failed. But it is struggling largely because they have undermined it again and again.","Republicans like to say the Affordable Care Act has failed. But it is struggling largely because they have undermined it again and again.","Obamacare is not “collapsing under its own weight,” as Republicans are so fond of saying. It was sabotaged from the day it was enacted. And now the Republican Party should be held accountable not only for any potential replacement of the law, but also for having tried to starve it to death.","The New York Times","2017-05-25T07:21:09+0000","article","Opinion","Op-Ed","nyt://article/901fe1b4-6cef-5410-9156-a97987187485",NA,"How the G.O.P. Sabotaged Obamacare","Op-Ed Contributor",NA,"How the G.O.P. Sabotaged Obamacare",NA,NA,NA
"How the pandemic is disproportionately disrupting mothers’ careers.","How the pandemic is disproportionately disrupting mothers’ careers.","Maggie Levine was on maternity leave from her job as a children’s librarian in Boston for the first few months of the pandemic, but she started working again in the middle of May. She and her husband, James Maher, an engineer, had no outside child care between mid-May and early July, while she was working from home and he was working part time from home and part time from the office. They were both caring for their baby, who is now 9 months old.","The New York Times","2020-07-15T10:00:05+0000","article","Parenting","News","nyt://article/76be71e6-862b-580a-9d2e-2b28106d72ae",NA,"‘They Go to Mommy First’",NA,NA,NA,NA,NA,NA
"Jacqueline Rose’s “Mothers,” one of many new books about the subject, is a sort of Rosetta Stone that examines the particular mix of fascination and dread that mothers engender.","Jacqueline Rose’s “Mothers,” one of many new books about the subject, is a sort of Rosetta Stone that examines the particular mix of fascination and dread that mothers engender.","“There seems to be something about having the word ‘girl’ in the title of a book that guarantees huge sales.”","The New York Times","2018-04-24T17:48:25+0000","article","Books","Review","nyt://article/4646da0c-f331-509e-8269-1c763783cafc",NA,"In a Raft of New Books, Motherhood From (Almost) Every Angle","Books of The Times",NA,"On Motherhood’s Complications",NA,NA,NA
"Also, the politics of switching airplane seats, how to quit a job with grace, and addressing a bossy hostess.","Also, the politics of switching airplane seats, how to quit a job with grace, and addressing a bossy hostess.","Two months ago, my brother died. For 20 years, we were not close. During his final illness, my wife and I visited him, though it was hard to travel to his remote home. We flew cross-country again to pay our respects at his funeral. But my sister-in-law excluded me from everything. I was refused admission to the pre-service meeting with the clergyman. I was omitted from printed obituaries (though there was room for his dog), and none of the eulogies mentioned a surviving brother. Given this disrespect, how should I behave toward his family?","The New York Times","2017-04-20T14:48:33+0000","article","Fashion & Style","News","nyt://article/eb017cb5-4b1f-58ad-9bd4-d1d6cd734627",NA,"Snubbed at His Brother’s Funeral","Social Q’s",NA,"Snubbed at a Funeral",NA,NA,NA
"A visit to the brand’s store will make you feel like an adolescent, if not look like one.","A visit to the brand’s store will make you feel like an adolescent, if not look like one.","How old you are is a matter of birth date, but how old you feel is a matter of context. If for some reason you’re seeking a temporary conversion back to adolescence — and summer is the season to do it — a visit to TonyMoly is the fastest way to get there.","The New York Times","2015-07-20T21:05:22+0000","article","Fashion & Style","News","nyt://article/2921f164-aaa3-5f2c-844e-031da341c29e",NA,"TonyMoly Brings Korean Beauty to New York","Critical Shopper",NA,"If Adolescence Had a Face",NA,NA,NA
"Military leaders in Thailand, whose prime minister was removed earlier this month, urged the public to stay calm, saying they intended to “bring peace to the beloved country.”","Military leaders in Thailand, whose prime minister was removed earlier this month, urged the public to stay calm, saying they intended to “bring peace to the beloved country.”","BANGKOK — Citing a century-old law, the head of Thailand’s Army declared what he described as nationwide martial law early Tuesday and urged protesters who have paralyzed the government and blocked elections to “stop their movement.” The order also appeared to apply to pro-government demonstrators who are leading a separate protest.","The New York Times","2014-05-20T05:14:51+0000","article","World","News","nyt://article/30dcd371-0933-583c-a1e4-d7e4dd2527de","Asia Pacific","Imposing Martial Law, Thai Military Denies Plans for Coup",NA,NA,NA,NA,NA,NA
"Jim Stake and Liam Harvey wanted a pied-à-terre in the city, and found it in Hell’s Kitchen.","Jim Stake and Liam Harvey wanted a pied-à-terre in the city, and found it in Hell’s Kitchen.","Jim Stake and Liam Harvey, partners in business and in life, live in a four-story lakeside town-house condominium with 2,600 square feet of space in Bedford Hills, N.Y.","The New York Times","2013-10-23T16:43:17+0000","article","Real Estate","News","nyt://article/252d6090-731d-51d0-8de9-5a9bfb8b2dd4",NA,"Arranging an Encore in Manhattan",NA,NA,"Arranging an Encore in Manhattan",NA,NA,NA
"Jeffrey Babbitt, 62, of Brooklyn, died on Monday after a random possible hate crime; he was remembered for his gentle nature and love of comic books.","Jeffrey Babbitt, 62, of Brooklyn, died on Monday after a random possible hate crime; he was remembered for his gentle nature and love of comic books.","For more than a decade, Jeffrey Babbitt traveled two or three times a week from his home in Sheepshead Bay, Brooklyn, to a comic book store called Forbidden Planet just below Union Square in Manhattan. There, he bought the latest copies of “X-Men” or “Doctor Who,” or sometimes just chatted up the employees, who over the years had become good friends.","The New York Times","2013-09-10T02:29:55+0000","article","New York","News","nyt://article/212333bd-1c7b-5daa-8efb-339044dfc6de",NA,"Friends Mourn Man Fatally Assaulted in Possible Random Hate Crime",NA,NA,"Friends Mourn Man Fatally Assaulted in Possible Random Hate Crime",NA,NA,NA
"Many artists feel pressure to choose between a professional career and motherhood. But for those who do have kids, the boundaries between life and art can blur — and that can be a good thing.","Many artists feel pressure to choose between a professional career and motherhood. But for those who do have kids, the boundaries between life and art can blur — and that can be a good thing.","— The artist Tracey Emin, in a 2014 interview","The New York Times","2021-05-26T18:00:23+0000","article","U.S.","News","nyt://article/373bc0bd-3226-5909-a600-658339a25edd",NA,"Why Do We Make It So Hard for Artist Moms to Flourish?","in her words",NA,NA,NA,NA,NA
"Can chickens save the desperate housewife?","Can chickens save the desperate housewife?"," Four women I know — none of whom know one another — are building chicken coops in their backyards. It goes without saying that they already raise organic produce: my town, Berkeley, Calif., is the Vatican of locavorism, the high church of Alice Waters. Kitchen gardens are as much a given here as indoor plumbing. But chickens? That ups the ante. Apparently it is no longer enough to know the name of the farm your eggs came from; now you need to know the name of the actual bird. ","The New York Times","2010-03-11T20:16:44+0000","article","Magazine","News","nyt://article/c73ee3c6-e3e1-5ff0-a13d-21c2140cf5bb",NA,"The Femivore’s Dilemma",NA,NA,"The Femivore’s Dilemma",NA,NA,NA
"Addressing matters of an unwanted surprise party, ownership of a family name, a family’s distant relations and contempt of a hat.","Addressing matters of an unwanted surprise party, ownership of a family name, a family’s distant relations and contempt of a hat.","My wife’s family and close friends are planning a surprise party to celebrate her 70th birthday. The planners have asked me to arrange for her to be at a certain locale at a certain time, and they have insisted on my secrecy. My wife told me that she hopes nothing is being planned for the occasion. She would like to celebrate her birthday with a quiet dinner for two at a fine restaurant. I am convinced that she is not being coy and would detest this surprise party. Should I blow the conspirators’ cover?","The New York Times","2013-10-24T19:57:39+0000","article","Fashion & Style","News","nyt://article/e6012ef5-8c63-5a3a-a0d0-4a683de96608",NA,"Exploring Plan B",NA,NA,"Exploring Plan B",NA,NA,NA
"After years of living abroad, Jennifer Conlin and her husband buy her parents’ home and move in with them.","After years of living abroad, Jennifer Conlin and her husband buy her parents’ home and move in with them.","Four years ago, a series of circumstances led my husband and me to move back to the town where I grew up, and then to buy my parents’ home of 25 years. The home came with a lot of stuff: my mother’s colorful porcelain egg collection, my father’s dusty musical cassettes, rooms full of frayed chintz and endless silver in need of polish. It also came with my mother and father.","The New York Times","2014-07-03T18:57:04+0000","article","Fashion & Style","News","nyt://article/20668fd0-925b-517e-865a-a490a61b6a4f",NA,"All in This Together","Reverse Parenting",NA,"All in This Together",NA,NA,NA
"The head of Thailand’s army declared what he described as nationwide martial law early Tuesday and urged protesters who have blocked elections to “stop their movement.”","The head of Thailand’s army declared what he described as nationwide martial law early Tuesday and urged protesters who have blocked elections to “stop their movement.”","BANGKOK — Citing a century-old law, the head of Thailand’s Army declared what he described as nationwide martial law early Tuesday and urged protesters who have paralyzed the government and blocked elections to “stop their movement.” The order also appeared to apply to pro-government demonstrators who are leading a separate protest.","The New York Times","2014-05-20T01:03:35+0000","article","World","News","nyt://article/5abd5777-ddbc-54a9-9147-ff73d47eb43f","Asia Pacific","General Declares Martial Law Across Thailand Amid Paralyzing Protests",NA,NA,"General Declares Martial Law Across Thailand Amid Paralyzing Protests",NA,NA,NA
"Commissioners in California, New York and Washington State will use a mandatory survey to track intended responses to severe events like wildfires.","Commissioners in California, New York and Washington State will use a mandatory survey to track intended responses to severe events like wildfires.","Insurance commissioners in California, New York and Washington State will require that companies disclose how they intend to respond to the risks their businesses and customers face from increasingly severe storms and wildfires, rising sea levels and other consequences of climate change, California’s commissioner said Wednesday.","The New York Times","2012-02-02T02:41:29+0000","article","Business Day","News","nyt://article/5b577430-72af-56af-ac49-b938da311b6c","Energy & Environment ","Three States to Require Insurers to Disclose Climate-Change Response Plans",NA,NA,"Three States to Require Insurers to Disclose Climate-Change Response Plans",NA,NA,NA
"Lionel Shriver’s new novel, “So Much for That,” explores the medical struggles of a middle-class family in Westchester County.","Lionel Shriver’s new novel, “So Much for That,” explores the medical struggles of a middle-class family in Westchester County.","Who among us has ever read “Uncle Tom’s Cabin”? Not me, and not you either, I suspect. Why should we? We know all about that book: it is dated, stilted and full of distasteful stereotypes. We have all outgrown it.","The New York Times","2010-03-29T15:26:19+0000","article","Health","Review","nyt://article/1571fcc6-2c5f-583c-b8e3-6c1ad0d09f71",NA,"When Taking Care Taps the Soul, and the Wallet","Books",NA,"When Taking Care Taps the Soul, and the Wallet",NA,NA,NA
"There is nothing universal about this version of universal basic income.","There is nothing universal about this version of universal basic income.","HELSINKI, Finland — Universal basic income is generating considerable interest these days, from Bernie Sanders, who says he is “absolutely sympathetic” to the idea, to Mark Zuckerberg, Facebook’s chief executive, and other tech billionaires. The basic idea behind it is that handing out unconditional cash to all citizens, employed or not, would help reduce poverty and inequality, and increase individual liberty.","International New York Times","2017-07-20T12:20:20+0000","article","Opinion","Op-Ed","nyt://article/5e3bc8b3-cb6a-5d78-81b4-546449786290",NA,"Why Finland’s Basic Income Experiment Isn’t Working","Op-Ed Contributors",NA,"A Finnish experiment",NA,NA,NA
"The actress stars in the NBC thriller, “The Endgame.”","The actress stars in the NBC thriller, “The Endgame.”","“If I take these home to my kids and they don’t like them, I’m going to kill them,” the actress Morena Baccarin said.","The New York Times","2022-03-05T10:00:12+0000","article","Style","News","nyt://article/a1e11af8-28d0-54a4-9e2a-d9136b7499e4",NA,"Actress Morena Baccarin Cooks a Brazilian Stew","Encounters",NA,"She Stirs the Pot in This Scene",NA,NA,NA
"A history professor at Princeton University uncovers dark tales of caregiving in the decades before America’s social safety net.","A history professor at Princeton University uncovers dark tales of caregiving in the decades before America’s social safety net.","In the decades before Social Security and Medicare began providing financial support to the elderly, many Americans entered the later stages of life — threatened by disease, dementia and disability — unsure of who would care for them. Sometimes, they persuaded children, younger relatives or neighbors to take on the responsibilities with promises of compensation: care for me when I’m old, the bargain went, and I will leave you the house. Or the farm, or the shop, or the bank account. ","The New York Times","2012-02-15T17:46:03+0000","article","Health","News","nyt://article/bf0f093a-1a28-54fc-ba48-e5a77330e9f6",NA,"The Caregiver’s Bookshelf: Broken Promises","The New Old Age",NA,NA,NA,NA,NA
"We don’t ask why an animal was roaming the savanna, or what he did to deserve his fate.","We don’t ask why an animal was roaming the savanna, or what he did to deserve his fate.","LIKE many others, I was stunned by the story of the Minnesota dentist who hunted and killed a 13-year-old lion, Cecil, in Zimbabwe. It was a brutal, senseless thing.","The New York Times","2015-07-31T18:08:35+0000","article","Opinion","Op-Ed","nyt://article/a09ccf18-ab00-5a08-87c0-8ebaede29e3c",NA,"Of Lions and Men: Mourning Samuel DuBose and Cecil the Lion","Contributing Op-Ed Writer",NA,"Of Lions and Men",NA,NA,NA
"Many questions remain as experts weigh options for getting children back into the classroom.","Many questions remain as experts weigh options for getting children back into the classroom.","Parents who have watched their children struggle with online learning since schools across the country were closed in March are painfully aware that virtual classes are no substitute for face-to-face instruction. Even so, many of these parents worry that schools might hastily reopen without taking the necessary precautions to shield children — and everyone in the school community — from infection.","The New York Times","2020-06-06T18:59:05+0000","article","Opinion","Editorial","nyt://article/90714bd5-3a33-5d0e-b3a7-d47c560f5e07",NA,"How to Reopen America’s Schools",NA,NA,"How to Reopen America’s Schools",NA,NA,NA
"Test your vocabulary and reading comprehension with this quiz based on the Times article ""The Internet’s Exotic Pets, and the People Who Love Them.""","Test your vocabulary and reading comprehension with this quiz based on the Times article ""The Internet’s Exotic Pets, and the People Who Love Them.""","Test your vocabulary and reading comprehension with this quiz based on the Times article ""The Internet’s Exotic Pets, and the People Who Love Them.""","The New York Times","2022-01-13T10:00:01+0000","multimedia","The Learning Network","Interactive Feature","nyt://interactive/9c204162-4ad2-56b5-8805-d02a6d950ceb",NA,"Vocabulary in Context: Exotic Pets","Vocabulary",NA,NA,NA,NA,NA
"Nicole Dennis-Benn’s second novel “Patsy” follows a Jamaican woman as she begins a new life in Brooklyn, leaving her child behind.","Nicole Dennis-Benn’s second novel “Patsy” follows a Jamaican woman as she begins a new life in Brooklyn, leaving her child behind.","PATSYBy Nicole Dennis-Benn","The New York Times","2019-06-12T19:55:38+0000","article","Books","Review","nyt://article/ffd773b7-53b0-5687-9ad4-44bb5cfb1865","Book Review","‘Patsy’ Upends the Stereotypes of Immigrant and Gay Fiction","Fiction",NA,"Hidden Scars",NA,NA,NA
"Mr. Dorsey’s tweets about his silent-meditation retreat in the country were criticized for not mentioning the plight of the Rohingya, a persecuted Muslim minority.","Mr. Dorsey’s tweets about his silent-meditation retreat in the country were criticized for not mentioning the plight of the Rohingya, a persecuted Muslim minority.","HONG KONG — Twitter’s chief executive, Jack Dorsey, fresh off a silent-meditation retreat in Myanmar, was so smitten with his visit that he posted a series of glowing tweets about the country and its people, urging others to travel there.","The New York Times","2018-12-10T11:15:09+0000","article","World","News","nyt://article/14f3f2ad-ac9c-59e5-bfea-9ba158699562","Asia Pacific","Jack Dorsey, Posting About Myanmar on Twitter, Is Accused of Being Tone Deaf",NA,NA,"Twitter Chief’s Posts on Myanmar Trip Called Tone-Deaf",NA,NA,NA
"Like America, we’re faced with the question: Does she represent who we are, or who we want to be?","Like America, we’re faced with the question: Does she represent who we are, or who we want to be?","BERLIN — In a way, Elke Büdenbender is the exact opposite of Melania Trump. Being married to Frank-Walter Steinmeier, the new German head of state, she has given up her job as a judge at the Berlin Administrative Court to fully devote her time to the job of first lady. Mrs. Trump, on the contrary, refuses to be first lady, in order to, well, to continue to do pretty much nothing.","The New York Times","2017-04-06T13:03:22+0000","article","Opinion","Op-Ed","nyt://article/88089689-8f64-53bd-9cd6-95d921adf00a",NA,"Germany’s First Lady Problem","Contributing Op-Ed Writer",NA,"In Germany, a first lady conundrum",NA,NA,NA
"Like America, we’re faced with the question: Does she represent who we are, or who we want to be?","Like America, we’re faced with the question: Does she represent who we are, or who we want to be?","BERLIN — In a way, Elke Büdenbender is the exact opposite of Melania Trump. Being married to Frank-Walter Steinmeier, the new German head of state, she has given up her job as a judge at the Berlin Administrative Court to fully devote her time to the job of first lady. Mrs. Trump, on the contrary, refuses to be first lady, in order to, well, to continue to do pretty much nothing.","The New York Times","2017-04-06T13:03:22+0000","article","Opinion","Op-Ed","nyt://article/88089689-8f64-53bd-9cd6-95d921adf00a",NA,"Germany’s First Lady Problem","Contributing Op-Ed Writer",NA,"In Germany, a first lady conundrum",NA,NA,NA
"Children without siblings are more intelligent and more motivated.","Children without siblings are more intelligent and more motivated.","CALL me a terrible mother. I have an only child. For now at least, I’m planning to keep it that way, for my happiness and for hers. But the notion that an only child might be a happy one contradicts strong cultural beliefs. According to these, children like mine will end up rotten with selfishness and beset by loneliness. ","The New York Times","2013-06-08T19:20:11+0000","article","Opinion","Op-Ed","nyt://article/1dafa2b4-9f0e-586f-87ad-6ee42452bda6","Sunday Review","Only Children: Lonely and Selfish?","Opinion",NA,"Only Children: Lonely and Selfish?",NA,NA,NA
"“My mother died of metastatic colorectal cancer shortly before three p.m. on Christmas Day of 2008.”","“My mother died of metastatic colorectal cancer shortly before three p.m. on Christmas Day of 2008.”","Chapter One: Love ","The New York Times","2011-04-13T00:58:05+0000","article","Books","First Chapter","nyt://article/0eb03847-8920-5a2f-8ddd-426fed8102c0",NA,"‘The Long Goodbye’","Excerpt",NA,NA,NA,NA,NA
"Note: This article was published on March 17 and is no longer being updated. This is a developing situation. Read our piece on ""Your Coronavirus Questions Answered"" for more information. As hundreds of thousands of college students return home from spring break and closed campuses, a few of them are bound to have flu-like symptoms....","Note: This article was published on March 17 and is no longer being updated. This is a developing situation. Read our piece on ""Your Coronavirus Questions Answered"" for more information. As hundreds of thousands of college students return home fro...","Note: This article was published on March 17 and is no longer being updated. This is a developing situation. Read our piece on ""Your Coronavirus Questions Answered"" for more information. As hundreds of thousands of college students return home from spring break and closed campuses, a few of them are bound to have flu-like symptoms....","Wirecutter","2020-03-17T00:00:00+0000","wirecutterarticle",NA,NA,"nyt://wirecutterarticle/6241339e-0670-5b1c-98a4-3dd7c09ca300",NA,"How to Properly Care for a Sick Person at Home (and Not Get Sick Yourself)",NA,NA,NA,NA,NA,NA
